id,gender,size,age,active,created_at,updated_at
2,34,50,"0 - 1",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
3,34,56,"1 - 2",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
4,34,62,"2 - 4",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
5,34,68,"4 - 6",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
6,34,74,"6 - 9",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
7,34,80,"9 - 12",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
8,34,86,"12 - 18",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
9,16,92,"2",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
10,16,98,"3",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
11,16,104,"4",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
12,16,110,"5",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
13,16,116,"6",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
14,16,122,"7",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
15,16,128,"8",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
16,16,134,"9",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
17,16,140,"10",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
18,16,146,"11",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
19,16,152,"12",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
20,16,158,"13",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
21,16,164,"14",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
22,16,170,"15",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
23,16,176,"16",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
24,15,92,"2",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
25,15,98,"3",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
26,15,104,"4",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
27,15,110,"5",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
28,15,116,"6",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
29,15,122,"7",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
30,15,128,"8",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
31,15,134,"9",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
32,15,140,"10",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
33,15,146,"11",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
34,15,152,"12",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
35,15,158,"13",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
36,15,164,"14",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
37,15,170,"15",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
38,15,176,"16",1,"2018-05-07 10:00:00","2018-05-07 10:00:00"
39,34,62-68,"2 - 6",1,"2018-05-07 10:41:38","2018-05-07 10:42:36"
40,15,92-98,"2 - 3",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
41,15,98-104,"3 - 4",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
42,15,110-116,"5 - 6",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
43,15,116-122,"6 - 7",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
44,15,122-128,"7 - 8",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
45,15,128-134,"8 - 9",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
46,15,134-140,"9 - 10",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
47,15,140-146,"10 - 11",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
48,15,146-152,"11 - 12",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
49,15,152-158,"12 - 13",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
50,15,158-164,"13 - 14",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
51,15,164-170,"14 - 15",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
52,15,170-176,"15 - 16",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
53,16,92-98,"2 - 3",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
54,16,98-104,"3 - 4",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
55,16,110-116,"5 - 6",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
56,16,116-122,"6 - 7",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
57,16,122-128,"7 - 8",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
58,16,128-134,"8 - 9",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
59,16,134-140,"9 - 10",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
60,16,140-146,"10 - 11",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
61,16,146-152,"11 - 12",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
62,16,152-158,"12 - 13",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
63,16,158-164,"13 - 14",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
64,16,164-170,"14 - 15",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
65,16,170-176,"15 - 16",1,"2018-05-07 10:41:38","2018-05-07 10:41:38"
