ID,ID,naam,omschrijving,kleur,maat,leeftijd,categorie,afbeeldingproduct,productactief,toegevoegdop,toegevoegdop
71,71,Winterjasje,Dikke en warme winterjas,Cremewit,74,,36,/winkel/foto/winterjasje_1621184637.jpg,0,2017-12-03 21:27:11,2017-12-03 21:27:11
80,80,Jasje,Spijkerstof gevoerd jasje,Blauw,68,,36,/winkel/foto/jasje_1329492881.jpg,0,2017-12-03 21:27:11,2017-12-03 21:27:11
95,95,Winterjas,"Corduroy jasje, gevoerd met capuchon",Lichtblauw,68,,36,/winkel/foto/winterjas_1036390981.jpg,0,2017-12-06 08:17:39,2017-12-06 08:17:39
116,116,Boekje,Tom sawyer,,,,7,/winkel/foto/boekje_5553755.jpg,1,2017-12-06 08:17:39,2017-12-06 08:17:39
126,126,Jas,Gevoerde jas met capuchon,Zwart,176,,36,/winkel/foto/jas_1766625696.jpg,0,2017-12-06 08:17:39,2017-12-06 08:17:39
151,151,Broodtrommeltje,Broodtrommeltje in de vorm van koffer,Blauw,,,7,/winkel/foto/Broodtrommeltje_1477482525.jpg,1,2017-12-06 08:17:39,2017-12-06 08:17:39
254,254,Schoentjes,Schoentjes van stof,Rose,19,,37,/winkel/foto/schoentjes_2061023022.jpg,0,2017-12-06 08:17:39,2017-12-06 08:17:39
284,284,kledingpakketje,"2 leggings, 2shirts en 2 rokjes",divers,68,,16,/winkel/foto/kledingpakketje_651723803.jpg,0,2017-12-03 21:35:00,2017-12-03 21:35:00
288,288,jasje,warm winterjasje met capuchon,blauw wit gestippeld rode binnenkant,74,,36,/winkel/foto/jasje_1576642523.jpg,0,2017-12-06 08:17:39,2017-12-06 08:17:39
317,317,slaapzakje,geruit slaspzakje,divers,68-80,,34,/winkel/foto/slaapzakje_1655894788.jpg,0,2017-12-06 08:17:39,2017-12-06 08:17:39
347,347,houten speeltje,klein houten speeltje,divers,,,33,/winkel/foto/houten speeltje_814250231.jpg,0,2016-11-07 21:38:22,2016-11-07 21:38:22
392,392,pyjama,pyjama,blauw,68,,15,/winkel/foto/pyjama_1182851684.jpg,0,2017-12-06 08:17:39,2017-12-06 08:17:39
404,404,kledingpakketje,3 shirts en een broekje,divers,74,,16,/winkel/foto/kledingpakketje_1210451760.jpg,0,2017-12-06 08:17:39,2017-12-06 08:17:39
424,424,2 maillots,2 maillots ,hardrose,68-74,,16,/winkel/foto/2 maillots_16891350.jpg,0,2017-12-06 08:17:39,2017-12-06 08:17:39
425,425,shirt en maillot,nijntje shirt en maillot,divers,62-68,,16,/winkel/foto/shirt en maillot_1929442198.jpg,0,2017-12-03 21:57:17,2017-12-03 21:57:17
431,431,jasje,lekker winddicht dik winterjasje,grijs lila,12 maanden,,36,/winkel/foto/jasje_966555699.jpg,0,2017-12-06 08:17:39,2017-12-06 08:17:39
435,435,shirts en vestje,2 shirts en 1 vestje,rose blauw,80,,16,/winkel/foto/shirts en vestje_1149410140.jpg,0,2017-12-06 08:17:39,2017-12-06 08:17:39
439,439,pakketje meidenkleding,slobpakje shirt jurkje truitje,pastel,74,,16,/winkel/foto/pakketje meidenkleding_215642019.jpg,0,2017-12-03 21:57:17,2017-12-03 21:57:17
444,444,kikker,kikker waar je kleine hebbedingetjes in kunt doen. mond kan dichtgeritst,groen,,,33,/winkel/foto/kikker_2144978612.jpg,0,2017-01-12 19:40:00,2017-01-12 19:40:00
458,458,pakketje kleding meisje,2 vestjes legging en jurkje,divers,80,,16,/winkel/foto/pakketje kleding meisje_1950407848.jpg,0,2017-12-03 21:57:17,2017-12-03 21:57:17
467,467,setje 16,2 shirts broek en vestje,divers,80,,16,/winkel/foto/setje 16_2093739164.jpg,0,2017-12-06 08:17:39,2017-12-06 08:17:39
485,485,pakje jongen,fleecepakje ,grijs groen,68,,15,/winkel/foto/pakje jongen_462312112.jpg,0,2017-12-06 08:17:39,2017-12-06 08:17:39
486,486,kledingpakket jongen,gevoerd tuinbroekje shirt en vestje,divers,68,,15,/winkel/foto/kledingpakket jongen_405292519.jpg,0,2017-12-06 08:17:39,2017-12-06 08:17:39
537,537,knuffeltjes,hondjes en popje,divers,,,33,/winkel/foto/knuffeltjes_1969993496.jpg,0,2016-11-24 12:10:41,2016-11-24 12:10:41
538,538,knuffeltjes,gehaakte muis smile en giraffe met klemmetje voor aan kleding oid,divers,,,33,/winkel/foto/knuffeltjes_1537588480.jpg,0,2016-11-24 12:14:43,2016-11-24 12:14:43
574,574,vest,vest van sweaterstof. gangsta birds,divers,170-176,,15,/winkel/foto/vest_358469878.jpg,0,2017-12-06 08:17:39,2017-12-06 08:17:39
624,624,kussentje handpopje boekje,,,,,33,/winkel/foto/kussentje handpopje boekje_2142052937.jpg,0,2017-12-03 21:57:17,2017-12-03 21:57:17
643,643,rugzakje,rugzakje beer van teddystof,beigebruin,,,7,/winkel/foto/rugzakje_1323402275.jpg,0,2017-12-06 08:17:39,2017-12-06 08:17:39
10027,10027,setje meisje,2 broeken rokje hello kitty en vest,divers,80,,16,/winkel/foto/setje meisje_1042803578.jpg,0,2017-12-06 08:17:39,2017-12-06 08:17:39
10066,10066,jurkje en shirt,overgooier met t shirt,rose grijs,68,,16,/winkel/foto/jurkje en shirt_448510496.jpg,0,2017-12-06 08:17:39,2017-12-06 08:17:39
10067,10067,rokje en shirt,spijkerrokje met t shirt,blauw divers,86,,16,/winkel/foto/rokje en shirt_828115658.jpg,0,2017-12-06 08:17:39,2017-12-06 08:17:39
10074,10074,gympen,stoffen gympjes,divers,30,,37,/winkel/foto/gympen_397211126.jpg,0,2017-12-06 08:17:39,2017-12-06 08:17:39
10135,10135,Broodtrommeltje,in de vorm van een koffertje ,rood,,,7,/winkel/foto/Broodtrommeltje_1901485614.jpg,0,2017-12-06 08:17:39,2017-12-06 08:17:39
